NOTE,PROCEDURE,MOD,PAR_AMOUNT,DESC
,1,,400.00 , Cash Pay Ketamine 
,1,,300.00 , Cash Pay Ketamine 
,3,,0.00 , NC Forms 
,4,,35.00 , Forms 
,5,,0.00 , Deposition 
,6,,10.00 , X Rays 
,8,,0.00 , Antifungal Cream 
,9,,0.00 , Surgery Prepayment 
,13,,30.00 , Hip Kit 
,11,,150.00 , PT Private IE 
,14,,85.00 , PT Private 30 
,15,,100.00 , PT Private 40 
,17,,85.00 , OT Private 30 
,18,,100.00 , OT Private 40 
,19,,500.00 , FCE Private Pay 
,20,,42.50 , Dry Needling Private 15 Min 
,21,,85.00 , Dry Needling Private 30 Min 
,22,,110.00 , Dry Needling Private 40 Min 
, 0054T ,,"1,500.00 ", BONE SURGERY USING COMPUTER 
, 0232MT ,,599.00 , NJX PLATELET PLASMA 
, 0232T ,,"1,500.00 ", NJX PLATELET PLASMA 
, 0232T ,,"1,100.00 ", NJX PLATELET PLASMA 
, 0275T ,,"2,708.00 ", PERQ LAMOT/LAM LUMBAR 
,10060,,344.00 , DRAINAGE OF SKIN ABSCESS 
,10061,,580.00 , DRAINAGE OF SKIN ABSCESS 
,10120,,400.00 , REMOVE FOREIGN BODY 
,10121,,"1,057.00 ", REMOVE FOREIGN BODY 
,10140,,460.00 , DRAINAGE OF HEMATOMA/FLUID 
,10160,,310.00 , PUNCTURE DRAINAGE OF LESION 
,10180,,"1,000.00 "," COMPLEX DRAINAGE, WOUND "
,11000,,160.00 , DEBRIDE INFECTED SKIN 
,11010,,"1,750.00 "," DEBRIDE SKIN, FX "
,11011,,"1,805.00 "," DEBRIDE SKIN/MUSCLE, FX "
,11012,,"3,134.00 "," DEBRIDE SKIN/MUSCLE/BONE, FX "
,11042,,270.00 , DEBRIDE SKIN/TISSUE 
,11043,,795.00 , DEBRIDE TISSUE/MUSCLE 
,11044,,"1,500.00 ", DEBRIDE TISSUE/MUSCLE/BONE 
,11045,,271.00 , DEB SUBQ TISSUE ADD-ON 
,11055,,181.00 , TRIM SKIN LESION 
,11056,,221.00 ," TRIM SKIN LESIONS, 2 TO 4 "
,11104,,633.00 , Punch Biopsy Of Skin Single Lesion 
,11105,,318.00 , Punch Biopsy Of Skin Addtnl Lesion 
,11402,,325.00 , EXC TR EXT B9 MARG 1.1-2 CM 
,11404,,530.00 , EXC TR EXT B9 MARG 3.1-4 CM 
,11420,,384.00 , EXC H F NK SP B9 MARG 0.5 < 
,11421,,400.00 , EXC H F NK SP B9 MARG 0.6-1 
,11422,,378.00 , EXC H F NK SP B9 MARG 1.1-2 
,11719,,65.00 , TRIM NAIL(S) 
,11720,,122.00 ," DEBRIDE NAIL, 1-5 "
,11721,,131.00 ," DEBRIDE NAIL, 6 OR MORE "
,11730,,300.00 , REMOVAL OF NAIL PLATE 
,11750,,660.00 , REMOVAL OF NAIL BED 
,11755,,400.00 ," BIOPSY, NAIL UNIT "
,11760,,843.00 , REPAIR OF NAIL BED 
,11900,,103.00 , INJECTION INTO SKIN LESIONS 
,12001,,431.00 , REPAIR SUPERFICIAL WOUND(S) 
,12002,,815.00 , REPAIR SUPERFICIAL WOUND(S) 
,12004,,952.00 , REPAIR SUPERFICIAL WOUND(S) 
,12020,,742.00 , CLOSURE OF SPLIT WOUND 
,12032,,900.00 , INTMD WND REPAIR S/TR/EXT 
,12037,,"1,558.00 ", INTMD WND REPAIR S/TR/EXT 
,13121,,"1,110.00 ", REPAIR OF WOUND OR LESION 
,13132,,"1,820.00 ", REPAIR OF WOUND OR LESION 
,13133,,572.00 , REPAIR WOUND/LESION ADD-ON 
,13160,,"2,223.00 ", LATE CLOSURE OF WOUND 
,14040,,"2,900.00 ", SKIN TISSUE REARRANGEMENT 
,15240,,"2,545.00 ", SKIN FULL GRFT FACE/GENIT/HF 
,15271,,670.00 , SKIN SUB GRAFT TRNK/ARM/LEG 
,15272,,500.00 , SKIN SUB GRAFT T/A/L ADD-ON 
,15275,,650.00 , SKIN SUB GRAFT FACE/NK/HF/G 
,17110,,333.00 ," DESTRUCT B9 LESION, 1-14 "
,17250,,222.00 ," CHEMICAL CAUTERY, TISSUE "
,20103,,"2,156.00 "," EXPLORE WOUND, EXTREMITY "
,20200,,700.00 , MUSCLE BIOPSY 
,20225,,"1,031.00 "," BONE BIOPSY, TROCAR/NEEDLE "
,20240,,900.00 ," BONE BIOPSY, EXCISIONAL "
,20520,,660.00 , REMOVAL OF FOREIGN BODY 
,20525,,"1,616.00 ", REMOVAL OF FOREIGN BODY 
,20526,,275.00 ," THER INJECTION, CARP TUNNEL "
,20527,,422.00 , INJ DUPUYTREN CORD W/ENZYME 
,20550,,170.00 , INJ TENDON SHEATH/LIGAMENT 
,20551,,152.00 , INJ TENDON ORIGIN/INSERTION 
,20552,,200.00 ," INJ TRIGGER POINT, 1/2 MUSCL "
,20553,,677.00 ," INJECT TRIGGER POINTS, =/> 3 "
,20560,,71.00 , Needle Insertion Without Injection 1-2 Muscles 
,20561,,105.00 , Needle Insertion Without Injection 3 Or More Muscl 
,20600,,144.00 ," DRAIN/INJECT, JOINT/BURSA "
,20604,,956.00 , Inject Sml Joint with U/S 
,20605,,170.00 ," DRAIN/INJECT, JOINT/BURSA "
,20606,,931.00 , Inject Med Joint with U/S 
,20610,,210.00 ," DRAIN/INJECT, JOINT/BURSA "
,20611,,"1,006.00 ", Inject Lrg Joint with U/S 
,20612,,200.00 , ASPIRATE/INJ GANGLION CYST 
,20670,,873.00 , REMOVAL OF SUPPORT IMPLANT 
,20680,,"1,619.00 ", REMOVAL OF SUPPORT IMPLANT 
,20690,,"2,091.00 ", APPLY BONE FIXATION DEVICE 
,20692,,"3,925.00 ", APPLY BONE FIXATION DEVICE 
,20693,,"2,104.00 ", ADJUST BONE FIXATION DEVICE 
,20694,,"1,784.00 ", REMOVE BONE FIXATION DEVICE 
,20696,,"4,710.00 ", COMP MULTIPLANE EXT FIXATION 
,20900,,"1,951.00 ", REMOVAL OF BONE FOR GRAFT 
,20902,,"2,219.00 ", REMOVAL OF BONE FOR GRAFT 
,20930,,"1,000.00 ", SP BONE ALGRFT MORSEL ADD-ON 
,20974,,603.00 , ELECTRICAL BONE STIMULATION 
,20982,,"6,592.00 "," ABLATE, BONE TUMOR(S) PERQ "
,20985,,"1,500.00 ", CPTR-ASST DIR MS PX 
,21820,,666.00 , TREAT STERNUM FRACTURE 
,22015,,"7,000.00 "," I&D, P-SPINE, L/S/LS "
,22310,,"2,220.00 ", TREAT SPINE FRACTURE 
,22511,,"8,525.00 ", Percutaneous vertebroplasty lumbosacral 
,22512,,"4,748.00 ", Percutaneous vertebroplasty addtl cervicothoracic 
,22513,,"14,891.00 ", Percutaneous vertebral augmentation thoracic 
,22514,,"10,000.00 ", Percutaneous vertebral augmentation lumbar 
,22515,,"8,621.00 "," Percutaneous vertebral aug addtl thoracic, lumbar "
,22551,,"21,373.00 ", NECK SPINE FUSE&REMOV BEL C2 
,22552,,"7,000.00 ", ADDL NECK SPINE FUSION 
,22556,,"18,000.00 ", THORAX SPINE FUSION 
,22558,,"15,498.00 ", LUMBAR SPINE FUSION 
,22585,,"2,737.00 ", ADDITIONAL SPINAL FUSION 
,22600,,"12,275.00 ", NECK SPINE FUSION 
,22610,,"12,000.00 ", THORAX SPINE FUSION 
,22612,,"14,000.00 ", LUMBAR SPINE FUSION 
,22614,,"3,170.00 "," SPINE FUSION, EXTRA SEGMENT "
,22633,,"15,000.00 ", LUMBAR SPINE FUSION COMBINED 
,22634,,"3,625.00 ", SPINE FUSION EXTRA SEGMENT 
,22830,,"9,000.00 ", EXPLORATION OF SPINAL FUSION 
,22840,,"9,066.00 ", INSERT SPINE FIXATION DEVICE 
,22842,,"9,000.00 ", INSERT SPINE FIXATION DEVICE 
,22845,,"11,293.00 ", INSERT SPINE FIXATION DEVICE 
,22846,,"9,125.00 ", INSERT SPINE FIXATION DEVICE 
,22850,,"5,680.00 ", REMOVE SPINE FIXATION DEVICE 
,22852,,"3,500.00 ", REMOVE SPINE FIXATION DEVICE 
,22853,,"5,107.00 ", Insertion Of Interbody Biomechanical Device 
,22855,,"9,171.00 ", REMOVE SPINE FIXATION DEVICE 
,22869,,"3,517.00 ", Insertion Of Interlaminar Without Fusion Inc Guid 
,22870,,900.00 , Insertion Of Interlam Including Image Guid Second 
,23020,,"3,700.00 ", RELEASE SHOULDER JOINT 
,23076,,"2,345.00 ", REMOVAL OF SHOULDER LESION 
,23106,,"2,825.00 ", INCISION OF COLLARBONE JOINT 
,23120,,"2,688.00 "," PARTIAL REMOVAL, COLLAR BONE "
,23140,,"2,431.00 ", REMOVAL OF BONE LESION 
,23350,,771.00 , INJECTION FOR SHOULDER X-RAY 
,23395,,"8,069.00 "," MUSCLE TRANSFER,SHOULDER/ARM "
,23405,,"3,316.00 ", INCISION OF TENDON & MUSCLE 
,23406,,"5,048.00 ", INCISE TENDON(S) & MUSCLE(S) 
,23410,,"5,121.00 "," REPAIR ROTATOR CUFF, ACUTE "
,23412,,"4,773.00 "," REPAIR ROTATOR CUFF, CHRONIC "
,23430,,"4,282.00 ", REPAIR BICEPS TENDON 
,23440,,"4,114.00 ", REMOVE/TRANSPLANT TENDON 
,23470,,"6,708.00 ", RECONSTRUCT SHOULDER JOINT 
,23472,,"8,402.00 ", RECONSTRUCT SHOULDER JOINT 
,23500,,"1,400.00 ", TREAT CLAVICLE FRACTURE 
,23505,,"1,170.00 ", TREAT CLAVICLE FRACTURE 
,23515,,"3,712.00 ", TREAT CLAVICLE FRACTURE 
,23540,,855.00 , TREAT CLAVICLE DISLOCATION 
,23550,,"2,895.00 ", TREAT CLAVICLE DISLOCATION 
,23570,,"1,000.00 ", TREAT SHOULDER BLADE FX 
,23585,,"3,984.00 ", TREAT SCAPULA FRACTURE 
,23600,,"1,586.00 ", TREAT HUMERUS FRACTURE 
,23605,,"2,051.00 ", TREAT HUMERUS FRACTURE 
,23615,,"3,957.00 ", TREAT HUMERUS FRACTURE 
,23620,,"1,200.00 ", TREAT HUMERUS FRACTURE 
,23630,,"3,078.00 ", TREAT HUMERUS FRACTURE 
,23650,,"2,008.00 ", TREAT SHOULDER DISLOCATION 
,23655,,"1,856.00 ", TREAT SHOULDER DISLOCATION 
,23670,,"5,317.00 ", TREAT DISLOCATION/FRACTURE 
,23680,,"4,100.00 ", TREAT DISLOCATION/FRACTURE 
,23700,,"1,425.00 ", MUA SHOULDER 
,24000,,"3,018.00 ", EXPLORATORY ELBOW SURGERY 
,24071,,"1,800.00 ", EXC ARM/ELBOW LES SC = 3 CM 
,24076,,"2,070.00 ", REMOVE ARM/ELBOW LESION 
,24101,,"3,157.00 ", EXPLORE/TREAT ELBOW JOINT 
,24105,,"1,578.00 ", REMOVAL OF ELBOW BURSA 
,24110,,"3,148.00 ", REMOVE HUMERUS LESION 
,24120,,"2,463.00 ", REMOVE ELBOW LESION 
,24130,,"2,687.00 ", REMOVAL OF HEAD OF RADIUS 
,24147,,"2,829.00 ", PARTIAL REMOVAL OF ELBOW 
,24149,,"5,859.00 ", RADICAL RESECTION OF ELBOW 
,24220,,570.00 , INJECTION FOR ELBOW X-RAY 
,24300,,"1,744.00 ", MANIPULATE ELBOW W/ANESTH 
,24305,,"3,310.00 ", ARM TENDON LENGTHENING 
,24341,,"4,820.00 ", REPAIR ARM TENDON/MUSCLE 
,24342,,"4,000.00 ", REPAIR OF RUPTURED TENDON 
,24357,,"2,022.00 "," REPAIR ELBOW, PERC "
,24358,,"2,480.00 "," REPAIR ELBOW W/DEB, OPEN "
,24363,,"7,586.00 ", REPLACE ELBOW JOINT 
,24430,,"5,266.00 ", REPAIR OF HUMERUS 
,24500,,"1,715.00 ", TREAT HUMERUS FRACTURE 
,24515,,"5,056.00 ", TREAT HUMERUS FRACTURE 
,24516,,"4,740.00 ", TREAT HUMERUS FRACTURE 
,24530,,"1,822.00 ", TREAT HUMERUS FRACTURE 
,24535,,"3,216.00 ", TREAT HUMERUS FRACTURE 
,24538,,"2,508.00 ", TREAT HUMERUS FRACTURE 
,24545,,"4,700.00 ", TREAT HUMERUS FRACTURE 
,24546,,"6,360.00 ", TREAT HUMERUS FRACTURE 
,24560,,"1,240.00 ", TREAT HUMERUS FRACTURE 
,24575,,"3,394.00 ", TREAT HUMERUS FRACTURE 
,24576,,"1,450.00 ", TREAT HUMERUS FRACTURE 
,24579,,"4,600.00 ", TREAT HUMERUS FRACTURE 
,24600,,"1,400.00 ", TREAT ELBOW DISLOCATION 
,24615,,"2,906.00 ", TREAT ELBOW DISLOCATION 
,24635,,"4,304.00 ", TREAT ELBOW FRACTURE 
,24650,,845.00 , TREAT RADIUS FRACTURE 
,24655,,"2,251.00 ", TREAT RADIUS FRACTURE 
,24666,,"3,650.00 ", TREAT RADIUS FRACTURE 
,24670,,"1,394.00 ", TREAT ULNAR FRACTURE 
,24685,,"3,352.00 ", TREAT ULNAR FRACTURE 
,25000,,"1,620.00 ", INCISION OF TENDON SHEATH 
,25023,,"4,751.00 ", DECOMPRESS FOREARM 1 SPACE 
,25024,,"3,813.00 ", DECOMPRESS FOREARM 2 SPACES 
,25071,,"1,830.00 ", EXC FOREARM LES SC > 3 CM 
,25073,,"2,149.00 ", EXC FOREARM TUM DEEP = 3 CM 
,25075,,"1,477.00 ", REMOVAL FOREARM LESION SUBCU 
,25076,,"2,496.00 ", REMOVAL FOREARM LESION DEEP 
,25107,,"3,097.00 ", REMOVE WRIST JOINT CARTILAGE 
,25110,,"1,704.00 ", REMOVE WRIST TENDON LESION 
,25111,,"1,620.00 ", REMOVE WRIST TENDON LESION 
,25115,,"3,824.00 ", REMOVE WRIST/FOREARM LESION 
,25116,,"3,492.00 ", REMOVE WRIST/FOREARM LESION 
,25118,,"2,332.00 ", EXCISE WRIST TENDON SHEATH 
,25130,,"2,341.00 ", REMOVAL OF WRIST LESION 
,25170,,"6,946.00 ", EXTENSIVE FOREARM SURGERY 
,25210,,"2,444.00 ", REMOVAL OF WRIST BONE 
,25215,,"3,360.00 ", REMOVAL OF WRIST BONES 
,25240,,"2,404.00 ", PARTIAL REMOVAL OF ULNA 
,25246,,492.00 , INJECTION FOR WRIST X-RAY 
,25259,,"1,893.00 ", MANIPULATE WRIST W/ANESTHES 
,25260,,"3,259.00 ", REPAIR FOREARM TENDON/MUSCLE 
,25270,,"2,725.00 ", REPAIR FOREARM TENDON/MUSCLE 
,25280,,"3,087.00 ", REVISE WRIST/FOREARM TENDON 
,25290,,"2,600.00 ", INCISE WRIST/FOREARM TENDON 
,25295,,"1,856.00 ", RELEASE WRIST/FOREARM TENDON 
,25312,,"3,446.00 ", TRANSPLANT FOREARM TENDON 
,25320,,"5,562.00 ", REPAIR/REVISE WRIST JOINT 
,25337,,"4,360.00 ", RECONSTRUCT ULNA/RADIOULNAR 
,25390,,"4,104.00 ", SHORTEN RADIUS OR ULNA 
,25400,,"4,373.00 ", REPAIR RADIUS OR ULNA 
,25405,,"5,151.00 ", REPAIR/GRAFT RADIUS OR ULNA 
,25431,,"3,751.00 ", REPAIR NONUNION CARPAL BONE 
,25440,,"3,541.00 ", REPAIR/GRAFT WRIST BONE 
,25445,,"3,310.00 ", RECONSTRUCT WRIST JOINT 
,25447,,"3,598.00 ", REPAIR WRIST JOINT(S) 
,25491,,"3,529.00 ", REINFORCE ULNA 
,25500,,"1,200.00 ", TREAT FRACTURE OF RADIUS 
,25505,,"2,573.00 ", TREAT FRACTURE OF RADIUS 
,25515,,"3,089.00 ", TREAT FRACTURE OF RADIUS 
,25525,,"4,974.00 ", TREAT FRACTURE OF RADIUS 
,25526,,"6,093.00 ", TREAT FRACTURE OF RADIUS 
,25530,,"1,255.00 ", TREAT FRACTURE OF ULNA 
,25535,,"1,891.00 ", TREAT FRACTURE OF ULNA 
,25545,,"3,390.00 ", TREAT FRACTURE OF ULNA 
,25560,,"1,120.00 ", TREAT FRACTURE RADIUS & ULNA 
,25565,,"2,769.00 ", TREAT FRACTURE RADIUS & ULNA 
,25574,,"3,591.00 ", TREAT FRACTURE RADIUS & ULNA 
,25575,,"4,695.00 ", TREAT FRACTURE RADIUS/ULNA 
,25600,,"1,474.00 ", TREAT FRACTURE RADIUS/ULNA 
,25605,,"3,200.00 ", TREAT FRACTURE RADIUS/ULNA 
,25606,,"3,755.00 ", TREAT FX DISTAL RADIAL 
,25607,,"4,320.00 ", TREAT FX RAD EXTRA-ARTICUL 
,25608,,"4,620.00 ", TREAT FX RAD INTRA-ARTICUL 
,25609,,"5,940.00 ", TREAT FX RADIAL 3+ FRAG 
,25622,,"1,248.00 ", TREAT WRIST BONE FRACTURE 
,25628,,"3,913.00 ", TREAT WRIST BONE FRACTURE 
,25630,,"1,554.00 ", TREAT WRIST BONE FRACTURE 
,25635,,"1,640.00 ", TREAT WRIST BONE FRACTURE 
,25650,,"1,740.00 ", TREAT WRIST BONE FRACTURE 
,25652,,"3,350.00 ", TREAT FRACTURE ULNAR STYLOID 
,25670,,"2,903.00 ", TREAT WRIST DISLOCATION 
,25800,,"3,610.00 ", FUSION OF WRIST JOINT 
,25825,,"4,255.00 ", FUSE HAND BONES WITH GRAFT 
,25927,,"2,672.00 ", AMPUTATION OF HAND 
,26011,,"1,549.00 ", DRAINAGE OF FINGER ABSCESS 
,26020,,"2,173.00 ", DRAIN HAND TENDON SHEATH 
,26040,,"1,383.00 ", RELEASE PALM CONTRACTURE 
,26045,,"2,446.00 ", RELEASE PALM CONTRACTURE 
,26055,,"1,650.00 ", INCISE FINGER TENDON SHEATH 
,26075,,"1,685.00 ", EXPLORE/TREAT FINGER JOINT 
,26080,,"2,005.00 ", EXPLORE/TREAT FINGER JOINT 
,26110,,"1,473.00 ", BIOPSY FINGER JOINT LINING 
,26111,,"1,935.00 ", EXC HAND LES SC > 1.5 CM 
,26115,,"2,108.00 ", REMOVAL HAND LESION SUBCUT 
,26116,,"2,364.00 "," REMOVAL HAND LESION, DEEP "
,26121,,"3,371.00 ", RELEASE PALM CONTRACTURE 
,26123,,"3,725.00 ", RELEASE PALM CONTRACTURE 
,26125,,"1,637.00 ", RELEASE PALM CONTRACTURE 
,26135,,"2,516.00 "," REVISE FINGER JOINT, EACH "
,26140,,"2,459.00 "," REVISE FINGER JOINT, EACH "
,26145,,"2,629.00 "," TENDON EXCISION, PALM/FINGER "
,26160,,"2,534.00 ", REMOVE TENDON SHEATH LESION 
,26170,,"1,889.00 "," REMOVAL OF PALM TENDON, EACH "
,26180,,"2,242.00 ", REMOVAL OF FINGER TENDON 
,26210,,"2,194.00 ", REMOVAL OF FINGER LESION 
,26230,,"2,478.00 ", PARTIAL REMOVAL OF HAND BONE 
,26235,,"2,282.00 "," PARTIAL REMOVAL, FINGER BONE "
,26236,,"2,133.00 "," PARTIAL REMOVAL, FINGER BONE "
,26340,,"1,551.00 ", MANIPULATE FINGER W/ANESTH 
,26341,,527.00 , MANIPULAT PALM CORD POST INJ 
,26350,,"3,354.00 ", REPAIR FINGER/HAND TENDON 
,26352,,"4,081.00 ", REPAIR/GRAFT HAND TENDON 
,26356,,"4,795.00 ", REPAIR FINGER/HAND TENDON 
,26370,,"3,810.00 ", REPAIR FINGER/HAND TENDON 
,26373,,"3,801.00 ", REPAIR FINGER/HAND TENDON 
,26410,,"2,566.00 ", REPAIR HAND TENDON 
,26418,,"2,416.00 ", REPAIR FINGER TENDON 
,26426,,"3,003.00 ", REPAIR FINGER/HAND TENDON 
,26432,,"2,103.00 ", REPAIR FINGER TENDON 
,26437,,"3,163.00 ", REALIGNMENT OF TENDONS 
,26440,,"1,250.00 ", RELEASE PALM/FINGER TENDON 
,26445,,"2,833.00 ", RELEASE HAND/FINGER TENDON 
,26450,,"2,660.00 ", INCISION OF PALM TENDON 
,26455,,"2,045.00 ", INCISION OF FINGER TENDON 
,26480,,"3,169.00 ", TRANSPLANT HAND TENDON 
,26498,,"4,907.00 ", FINGER TENDON TRANSFER 
,26500,,"3,131.00 ", HAND TENDON RECONSTRUCTION 
,26502,,"3,339.00 ", HAND TENDON RECONSTRUCTION 
,26520,,"3,354.00 ", RELEASE KNUCKLE CONTRACTURE 
,26525,,"3,415.00 ", RELEASE FINGER CONTRACTURE 
,26531,,"3,026.00 ", REVISE KNUCKLE WITH IMPLANT 
,26536,,"3,270.00 ", REVISE/IMPLANT FINGER JOINT 
,26540,,"3,253.00 ", REPAIR HAND JOINT 
,26542,,"3,292.00 ", REPAIR HAND JOINT WITH GRAFT 
,26546,,"4,274.00 ", REPAIR NONUNION HAND 
,26548,,"3,419.00 ", RECONSTRUCT FINGER JOINT 
,26587,,"4,969.00 ", RECONSTRUCT EXTRA FINGER 
,26591,,"2,876.00 ", REPAIR MUSCLES OF HAND 
,26593,,"2,852.00 ", RELEASE MUSCLES OF HAND 
,26600,,"1,100.00 ", TREAT METACARPAL FRACTURE 
,26605,,"1,678.00 ", TREAT METACARPAL FRACTURE 
,26608,,"2,295.00 ", TREAT METACARPAL FRACTURE 
,26615,,"2,900.00 ", TREAT METACARPAL FRACTURE 
,26650,,"2,580.00 ", TREAT THUMB FRACTURE 
,26665,,"3,133.00 ", TREAT THUMB FRACTURE 
,26676,,"2,282.00 ", PIN HAND DISLOCATION 
,26686,,"3,331.00 ", TREAT HAND DISLOCATION 
,26700,,"1,240.00 ", TREAT KNUCKLE DISLOCATION 
